source_key,title,publisher,url,source_type,year
s_nal_threesisters,The Three Sisters of Indigenous American Agriculture,USDA National Agricultural Library,https://www.nal.usda.gov/collections/stories/three-sisters,extension_service,
s_cryan2025,"Yield, growth, and labor demands of maize, beans, and squash in monoculture versus the Three Sisters","Plants, People, Planet (Wiley)",https://nph.onlinelibrary.wiley.com/doi/full/10.1002/ppp3.10576,peer_reviewed,2025
s_isu_juglone,What plants are sensitive to the juglone produced by black walnuts?,Iowa State University Extension,https://yardandgarden.extension.iastate.edu/faq/what-plants-are-sensitive-juglone-produced-black-walnuts,extension_service,
s_purdue_ho193,Black Walnut Toxicity (HO-193),Purdue Extension,https://www.extension.purdue.edu/extmedia/ho/ho-193.pdf,extension_service,
s_ufifas_marigold,Marigolds (Tagetes spp.) for Nematode Management (ENY-056),UF/IFAS Extension,https://ask.ifas.ufl.edu/publication/NG045,extension_service,
s_tagetes_jnem,Effects of Tagetes patula on Active and Inactive Stages of Root-Knot Nematodes,Journal of Nematology,https://pmc.ncbi.nlm.nih.gov/articles/PMC3593261/,peer_reviewed,2012
s_sare_clover,White Clover — Managing Cover Crops Profitably,USDA SARE,https://www.sare.org/publications/managing-cover-crops-profitably/legume-cover-crops/white-clover/,horticultural_org,
s_starkbros_clover,More Pollinators and More Nitrogen: Planting Clover Cover Crops in Your Orchard,Stark Bro's,https://www.starkbros.com/growing-guide/article/more-pollinators-and-more-nitrogen-planting-clover-cover-crops-in-your-orchard,horticultural_org,
s_tenthacre_comfrey,7 Comfrey Uses in the Permaculture Garden,Tenth Acre Farm,https://www.tenthacrefarm.com/comfrey-uses/,traditional,
s_riotte1975,Carrots Love Tomatoes: Secrets of Companion Planting,Louise Riotte (Storey Publishing),,book,1975
s_mu_pawpaw,Growing and Marketing Pawpaw in Missouri (AF1021),MU Extension,https://extension.missouri.edu/publications/af1021,extension_service,
s_mu_g9427,Establishing Fruit and Nut-Bearing Trees and Shrubs for Wildlife Habitat in Missouri (G9427),MU Extension,https://extension.missouri.edu/publications/g9427,extension_service,
s_pfaf_apios,Groundnut / Wild Potato — Apios americana,Plants For A Future,https://pfaf.org/plants/groundnut-wild-potato-apios-americana/,horticultural_org,
s_apios_genomics,Genomics-assisted characterization of a breeding collection of Apios americana,BMC Plant Biology (NCBI),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5056515/,peer_reviewed,2016
s_psu_juglone,Landscaping and Gardening Around Walnuts and Other Juglone Producing Plants,Penn State Extension,https://extension.psu.edu/landscaping-and-gardening-around-walnuts-and-other-juglone-producing-plants,extension_service,
s_starkbros_guild,How to Build a Permaculture Fruit Tree Guild,Stark Bro's,https://www.starkbros.com/growing-guide/article/how-to-build-a-fruit-tree-guild,horticultural_org,
s_wildedible_sunchoke,Jerusalem Artichoke (Helianthus tuberosus),WildEdible,https://www.wildedible.com/wild-food-guide/jerusalem-artichoke,traditional,
s_mobot_plantfinder,Plant Finder (general attribute reference),Missouri Botanical Garden,https://www.missouribotanicalgarden.org/plantfinder/plant-finder,horticultural_org,
s_mdc_cedarrust,Cedar-Apple Rust — Field Guide,Missouri Department of Conservation,https://mdc.mo.gov/discover-nature/field-guide/cedar-apple-rust,extension_service,
s_umn_cedarrust,Cedar-apple rust and related rust diseases,University of Minnesota Extension,https://extension.umn.edu/plant-diseases/cedar-apple-rust,extension_service,
s_askext_maple,Ground cover under a maple with exposed roots,Ask Extension (Cooperative Extension),https://ask.extension.org/kb/faq.php?id=870135,extension_service,
s_treesforgraziers_honeylocust,Honey Locust — uses and nitrogen-fixation debate,Trees For Graziers,https://treesforgraziers.com/honey-locust/,horticultural_org,
s_psu_allelopathy,Allelopathy in the Home Garden,Penn State Extension,https://extension.psu.edu/allelopathy-in-the-home-garden,extension_service,
s_umn_lateblight,Late blight of tomato and potato,University of Minnesota Extension,https://extension.umn.edu/disease-management/late-blight,extension_service,
s_usu_earworm,Corn Earworm / Tomato Fruitworm (Helicoverpa zea),Utah State University Extension,https://extension.usu.edu/pests/ipm/notes_ag/veg-tomato-fruitworm-corn-earworm,extension_service,
s_askext_dillfennel,Can dill and fennel cross pollinate?,Ask Extension (Cooperative Extension),https://ask.extension.org/kb/faq.php?id=624613,extension_service,
